Index|TaxManaged|Tax Exempt|Name|Ticker|Geographical|Asset|AssetClass|ExpenseRatio1|SECYield||YTD|1-year|5-year|10-year|Since inception|FundNo|ExpenseRatio|PurchaseFee|RedemptionFee|MorningstarCategory|BestFitIndex|MinInitialPurchase
Y|N|N|S&P Mid-Cap 400 Value Index Institutional Shares|VMFVX|US|Stock|Mid-Cap Value|0.08|1.77||10.20|13.26|—|—|16.24%(11/02/2010)|1844|0.08|0|0|Mid-Cap Value|S&P MidCap 400 TR|5,000,000
Y|N|N|Emerging Markets Government Bond Index|VGOVX|Emerging|Bond|Government|0.49|4.53||7.26|5.82|—|—|3.05%(05/31/2013)|1120|0.49|0.75|0|Emerging Markets Bond|--|3,000
Y|N|N|Dividend Appreciation Index Admiral Shares|VDADX|US|Stock|Large-Cap Blend|0.10|2.01||9.01|—|—|—|8.77%(12/19/2013)|5702|0.10|0|0|Large Blend|--|10,000
Y|N|N|FTSE All-World ex-US Index Admiral|VFWAX|Global|Stock|International|0.15|—||-1.09|1.23|—|—|10.92%(09/27/2011)|570|0.15|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|10,000
Y|N|N|Large-Cap Index Admiral Shares|VLCAX|US|Stock|Large-Cap Blend|0.09|1.85||12.80|16.93|16.80|8.57|8.04%(02/02/2004)|5307|0.09|0|0|Large Blend|Russell 1000 TR USD|10,000
Y|N|N|Short-Term Inflation-Protected Securities Index Institutional Shares|VTSPX|US|Bond|Short-term Government|0.07|-0.24||0.24|-0.10|—|—|-0.33%(10/17/2012)|1867|0.07|0|0|Inflation-Protected Bond|--|5,000,000
Y|N|N|Short-Term Bond Index Institutional Plus|VBIPX|US|Bond|Short-term Investment|0.05|0.99||1.42|1.10|—|—|1.34%(09/29/2011)|733|0.05|0|0|Short-Term Bond|XIUSA000CT|100,000,000
Y|N|N|Total World Stock Index Institutional Shares|VTWIX|Global|Stock|International|0.16|—||5.17|8.34|10.98|—|13.20%(10/09/2008)|826|0.16|0|0|World Stock|MSCI ACWI NR USD|5,000,000
Y|N|N|Mid-Cap Growth Index Admiral|VMGMX|US|Stock|Mid-Cap Growth|0.09|0.74||12.84|15.10|—|—|19.69%(09/27/2011)|5832|0.09|0|0|Mid-Cap Growth|Russell Mid Cap Growth TR USD|10,000
Y|N|N|Intermediate-Term Bond Index Institutional Plus|VBIUX|US|Bond|Inter-term Investment|0.05|2.53||6.28|4.61|—|—|3.95%(11/30/2011)|1874|0.05|0|0|Intermediate-Term Bond|--|100,000,000
Y|N|N|Global ex-U.S. Real Estate Index Admiral Shares |VGRLX|Global|RealEstate|International|0.27|—||3.73|2.05|—|—|7.53%(02/10/2011)|1758|0.27|0.25|0.25|Global Real Estate|MSCI World/Real Estate NR USD|10,000
Y|N|N|FTSE Social Index Institutional Shares|VFTNX|US|Stock|Large-Cap Growth|0.16|1.63||13.61|18.69|17.51|7.18|7.94%(01/14/2003)|223|0.16|0|0|Large Growth|Russell 3000 TR USD|5,000,000
Y|N|N|Emerging Markets Government Bond Index Institutional Shares|VGIVX|Emerging|Bond|Government|0.30|4.71||—|—|—|—|—(05/31/2013)|2020|0.30|0.75|0|US Stock|Large-Cap Value|5,000,000
Y|N|N|Developed Markets Index|VDVIX|Developed|Stock|International|0.20|—||-3.30|—|—|—|1.12%(12/19/2013)|1397|0.20|0|0|Foreign Large Blend|--|3,000
Y|N|N|Emerging Markets Index Institutional Plus Shares|VEMRX|Emerging|Stock|International|0.10|—||4.75|3.83|—|—|0.43%(12/15/2010)|1865|0.10|0|0|Diversified Emerging Mkts|MSCI EM NR USD|100,000,000
Y|N|N|REIT Index Admiral Shares|VGSLX|US|RealEstate|Sector|0.10|note||24.88|19.14|19.26|9.07|11.83%(11/12/2001)|5123|0.10|0|0|Real Estate|DJ US Select REIT TR USD|10,000
Y|N|N|Materials Index Admiral Shares|VMIAX|US|Stock|Sector|0.14|1.84||8.08|11.32|14.62|9.28|9.15%(02/11/2004)|5481|0.14|0|0|Natural Resources|Morningstar SEC/Basic Materials TR USD|100,000
Y|N|N|Total International Stock Index|VGTSX|Global|Stock|International|0.22|—||-1.40|1.00|6.28|6.41|4.88%(04/29/1996)|113|0.22|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|3,000
Y|N|N|FTSE All-World ex-US Small-Cap Index Institutional Shares|VFSNX|Global|Stock|International|0.19|—||-3.00|0.34|8.23|—|15.34%(04/02/2009)|884|0.19|0|0|Foreign Small/Mid Blend|MSCI ACWI Ex USA NR USD|5,000,000
Y|N|N|S&P Small-Cap 600 Index Institutional Shares|VSMSX|US|Stock|Small-Cap Blend|0.08|1.18||2.72|9.20|—|—|13.59%(04/01/2011)|1845|0.08|0|0|Small Blend|Russell 2000 TR USD|5,000,000
Y|N|N|Mega Cap Value Index Institutional Shares|VMVLX|US|Stock|Large-Cap Value|0.08|2.45||12.55|16.22|15.41|—|7.14%(03/05/2008)|839|0.08|0|0|Large Value|XIUSA0011A|5,000,000
Y|N|N|Intermediate-Term Bond Index|VBIIX|US|Bond|Inter-term Investment|0.20|2.38||6.14|4.45|5.66|5.38|6.41%(03/01/1994)|314|0.20|0|0|Intermediate-Term Bond|XIUSA000C0|3,000
Y|N|N|Growth Index Institutional Shares|VIGIX|US|Stock|Large-Cap Growth|0.08|1.24||13.22|17.93|17.67|9.27|5.63%(05/14/1998)|868|0.08|0|0|Large Growth|Russell 1000 Growth TR USD|5,000,000
Y|N|N|Energy Index Admiral Shares|VENAX|US|Stock|Sector|0.14|2.19||-0.66|2.85|10.87|11.01|10.58%(10/07/2004)|5480|0.14|0|0|Equity Energy|S&P 1500 Energy TR|100,000
Y|N|N|Extended Market Index Admiral Shares|VEXAX|US|Stock|Mid-Cap Blend|0.10|1.21||5.98|11.03|18.80|10.19|7.86%(11/13/2000)|598|0.10|0|0|Mid-Cap Blend|XIUSA0010Y|10,000
Y|N|N|Russell 2000 Index Institutional Shares|VRTIX|US|Stock|Small-Cap Blend|0.08|1.21||1.82|8.15|—|—|12.33%(12/22/2010)|1851|0.08|0|0|Small Blend|Russell 2000 TR USD|5,000,000
Y|N|N|FTSE All-World ex-US Small-Cap Index|VFSVX|Global|Stock|International|0.40|—||-3.15|0.15|7.98|—|15.08%(04/02/2009)|1684|0.40|0|0|Foreign Small/Mid Blend|MSCI ACWI Ex USA NR USD|3,000
